Model,Metric,Exact Match (%),F1 Score
Mixtral-8x22B,Relevance,81.875,0.22664359861591696
Mixtral-8x22B,Accuracy,75.625,0.21762589928057555
Mixtral-8x22B,Completeness,58.75,0.1666072874493927
Mixtral-8x22B,Fluency,80.0,0.4444444444444444
Mixtral-8x22B,KG_Alignment,70.0,0.24119850187265918
Llama-3.3-70B,Relevance,58.75,0.2568306010928962
Llama-3.3-70B,Accuracy,50.625,0.24605971610376898
Llama-3.3-70B,Completeness,10.0,0.06626840789108085
Llama-3.3-70B,Fluency,66.875,0.27435897435897433
Llama-3.3-70B,KG_Alignment,52.5,0.19065666968773173
DeepSeek-R1,Relevance,83.125,0.3036529680365297
DeepSeek-R1,Accuracy,75.625,0.2870699881376038
DeepSeek-R1,Completeness,45.625,0.18472412220702233
DeepSeek-R1,Fluency,80.0,0.4444444444444444
DeepSeek-R1,KG_Alignment,70.625,0.20848708487084872
Qwen3-32B,Relevance,82.5,0.3013698630136986
Qwen3-32B,Accuracy,68.75,0.16541353383458646
Qwen3-32B,Completeness,48.125,0.1586037491919845
Qwen3-32B,Fluency,78.75,0.29577464788732394
Qwen3-32B,KG_Alignment,59.375,0.15139442231075698
Gemma-2-27B-IT,Relevance,78.75,0.17684210526315788
Gemma-2-27B-IT,Accuracy,47.5,0.17749575791855204
Gemma-2-27B-IT,Completeness,25.624999999999996,0.13384338433843385
Gemma-2-27B-IT,Fluency,78.125,0.2944640753828033
Gemma-2-27B-IT,KG_Alignment,47.5,0.14264315805897956
