chunk_id,precision,recall,f1_score,true_positives,false_positives,false_negatives,total_extracted,total_ground_truth,ontology_alignment,ontology_confidence,false_positive_triples,false_negative_facts
e-this-must-include-the-locati-p36-86-c656a27c,1.0,0.9,0.9474,9,0,1,9,10,Pass,0.95,,provider -> does_not_specify -> type_of_signature_to_use
29-we-have-based-the-three-yea-p16-26-df135766,1.0,0.875,0.9333,7,0,1,7,8,Pass,0.9,,education_fees_and_awards_regulations_2007 -> amended -> true
these-documents-outline-the-ma-p6-1-a8c3d2db,1.0,0.7692,0.8696,10,0,3,10,13,Pass,0.95,,esfa -> has_funding_agreements_for -> young_people; funding_arrangements_2021_2022 -> applies_to_academic_year -> 2021/2022; institutions -> has_legal_duty -> gdpr_compliance_regarding_retention_of_personal_or_sensitive_information
where-we-do-ask-for-informatio-p7-2-ffa77cc9,0.8333,0.625,0.7143,5,1,3,6,8,Pass,0.9,maintained_schools -> provides_service -> local_authority,esfa -> clearly_communicates_needs_and_purpose -> information_request; esfa -> must_not_send_information_other_than_secure_method -> true; esfa -> provides_online_enquiry_form_for_contact_and_information -> true
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,0.9167,0.8462,0.88,11,1,2,12,13,Pass,0.95,repeat_year_funding_advice -> pertains_to -> funding_delivery,subcontracting_restrictions_advice -> pertains_to -> funding_delivery; guidance_document -> has_update -> sub_contracting_funding_rules
version-2-november-2021-we-hav-p8-4-7c3f8b2e,1.0,1.0,1.0,13,0,0,13,13,Pass,0.95,,
some-institutions-have-simply-p9-6-4a187af5,0.8333,0.6667,0.7407,10,2,5,12,15,Pass,0.95,current_funding_year -> is_time_period_of -> institutions; knowledge_of_education_delivery -> corresponds_to_learning_aim -> individual_students,institutions -> planning_assumptions_use -> subject_to_advice; institutions -> adapt_planning_delivery_method -> how_they_need; planning_assumptions_for_2021_2022 -> are -> more_up_to_date; knowledge_of_education_delivery -> about -> individual_students_in_both_years; planning_assumptions_for_future_years -> should_not -> simply_repeat_issues
if-planned-funded-activity-bec-p9-7-4aaa8da2,0.7692,0.7692,0.7692,10,3,3,13,13,Pass,0.95,funding_element -> evaluates -> substitute_activities; funding_element -> defines -> funding_impact; funding_regulations -> governed_by -> funding_element,current_difficult_circumstances -> affects -> planning_hours; advice -> helps_plan -> hours_for_students; advice -> helps_avoid -> funding_audit_issues
1-introduction-and-background-p10-8-d395cf80,1.0,0.75,0.8571,9,0,3,9,12,Pass,0.95,,secretary_of_state_for_education -> uses_powers_through -> esfa; secretary_of_state_for_education -> writes_guidance_on_behalf_of -> themselves; esfa -> uses_methodology -> national_funding_methodology
background-4-all-institutions-p10-9-c144ca8e,0.9231,1.0,0.96,12,1,0,13,12,Pass,0.95,local_authorities -> is_funded_by -> esfa,
8-this-document-is-expected-to-p10-10-f97acb38,1.0,0.9167,0.9565,11,0,1,11,12,Pass,0.95,,document -> is_expected_to_be_used_for -> funding_audit_testing
scope-of-this-document-10-this-p11-11-c0642fcd,1.0,0.8235,0.9032,14,0,3,14,17,Pass,0.95,,document -> sets_out -> esfa_funding_conditions; funding_year -> starts_on -> 1 August 2021; funding_year -> ends_on -> 31 July 2022
2-principles-and-conditions-of-p12-12-5bb11bad,1.0,0.5833,0.7368,7,0,5,7,12,Pass,0.9,,institution -> must_not_record_as_funded -> students_enrolled_at_other_institutions; institution -> must_avoid_funding_from -> office_for_students; institution -> must_avoid_funding_from -> other_esfa_programmes; institution -> must_avoid_funding_from -> other_sources; institution -> must_ensure_planned_hours_are -> realistic_and_deliverable
14-we-only-expect-institutions-p12-13-6935b5e3,1.0,0.875,0.9333,7,0,1,7,8,Pass,0.9,,audit_evidence -> is_in_accordance_with -> usual_student_enrolment_processes
funding-agreements-and-conditi-p12-14-b216b423,1.0,0.8889,0.9412,16,0,2,16,18,Pass,0.95,,funding_agreements -> sets_out -> funds_expected_in_return_for_funding; esfa -> issued_guidance_on -> detailed_condition_of_funding
a-tuition-fees-cannot-be-charg-p13-15-635b3883,0.7333,0.6875,0.7097,11,4,5,15,16,Pass,0.85,student_16_to_18 -> participates_in -> education_programme; education_programme -> includes -> consecutive_study_years; student_16_to_18 -> has_funding_condition -> free_tuition; examination_resit_fee -> is_funded_by -> inclusion_in_planned_hour_returns,student_16_to_18 -> is_defined_as -> under_19_on_31_August_in_teaching_year; consecutive_study_years -> is_recorded_in -> learning_agreement; institutions -> cannot_charge -> enrolment_fees; institutions -> cannot_charge -> registration_fees; student -> fails_without_good_reason -> examination
where-a-student-resits-an-exa-p13-16-9002179e,1.0,0.875,0.9333,14,0,2,14,16,Pass,0.9,,absence_due_to_other_acceptable_reasons -> is_reason_for -> non_completion_of_coursework; voluntary_contribution -> is_sought_from -> student_or_sponsor
e-no-fee-must-be-charged-to-st-p14-17-e313249f,1.0,0.8333,0.9091,10,0,2,10,12,Pass,0.9,,study_programme_elements_16_18 -> includes -> full_time_or_part_time_education; institution -> has_discretion -> determine_charge_amount_and_recipient
