chunk_id,page_number,index,text,word_count
these-documents-outline-the-ma-p6-1-a8c3d2db,6,1,"These documents outline the main features of ESFA funding arrangements for young people in 2021/2022 academic year and are an integral part of ESFA's funding agreements for young people aged 16 to 19 funding and those aged 19 to 24 with an education, health and care (EHC) plan. All of these documents should be read in this context, unless specifically stated otherwise. This is the definitive ESFA guidance for 2021/2022 academic year and supersedes any previous funding guidance for young people. Institutions must take into account the General Data Protection Regulation (General Data Protection Regulation) regulations in respect of the information they retain, particularly when it is personal or sensitive. It is the institution's responsibility to ensure it is fully compliant with these regulations. ESFA sets out in its privacy notice how data is collected and used to perform statutory functions on behalf of the Secretary of State. We will rarely ask for data from you outside of the Individualised Learner Record and school census.",165
where-we-do-ask-for-informatio-p7-2-ffa77cc9,7,2,"Where we do ask for information outside of the Individualised Learner Record and school census, we will set out clearly what we need and why we need it. We will always request that all personal or sensitive information is sent via a secure method of transfer which is fully compliant with General Data Protection Regulation regulations. You must not send us personal or sensitive information at any other time or in any other way. For further information or to contact ESFA, please use our online enquiry form. Maintained schools should contact their local authority.",94
what-s-new-we-have-made-the-fo-p8-3-b3688f8d,8,3,What's New? We have made the following additions and updates to this guidance document: • updated student eligibility advice for European Union and European Economic Area students in paragraphs 30 to 31 and in paragraphs 38 to 40 • updated our advice on repeat year funding in paragraphs 89 and 90 • included advice on our specific subcontracting restrictions for 16 to 19 funding delivery in section 6 which is now published in Sub-Contracting funding rules for ESFA funded Post 16 funding (Excluding Apprenticeships) .,85
version-2-november-2021-we-hav-p8-4-7c3f8b2e,8,4,Version 2: November 2021 • we have updated the following advice in respect of recording and evidencing the delivery of non-qualification hours (excludes students flagged as either High needs and/or Education Health Care (EHC) plan) in paragraphs 107 and 124 the advice in Annex B includes a new Table B2: • we have made a minor clarification to advice in Annex C Question and Answer 15 to make clearer that students must not be funded or any planned hours recorded for any overlap periods between study programmes and Apprenticeship funding at the same (or financially related) funded institutions or their subcontractors Version 2.1: March 2022 • updated student eligibility advice for some minor word technicalities but these are not expected to change student eligibility rules for this year) All versions,130
coronavirus-coronavirus-and-im-p8-5-5e86d832,8,5,"Coronavirus (Coronavirus) and impact on 'Planned hours for 2021/2022 academic year' We have issued some additional advice to assist any funded institutions having difficulty in calculating planned hours as part of their early Individualised Learner Record returns for this year. Any institution who has already resolved these issues for themselves does not need to amend any planned hours for the advice below. In normal years, to derive planned hours for the year ahead, institutions look back at delivery in the current year and then use this information to update their course master files, which then feed through the planned hours for every student for the following year. It was clear in April 2020 that the in-year delivery for 2020/2021 academic year was not normal and in responding to issues relating to coronavirus (Coronavirus), it was too early for some funded institutions to determine how they should alter planned delivery for 2021/2022 academic year.",153
some-institutions-have-simply-p9-6-4a187af5,9,6,"Some institutions have simply used their planning assumptions from the start of the 2018/2019 academic year funding year for the current funding year and we are content with this approach, subject to advice below. As funded institutions go through this funding year, they are now expected to consider how they need to adapt their planning of delivery so they can put in place more up to date planning assumptions for 2021/2022 academic year. This includes building on the knowledge of their education delivery to individual students during both the previous and current funding year. Any funded institution intending to 'roll over planning assumptions from 2018/2019 academic year' must, however, also take into account any funding audit advice received on their funding data for either 2018/2019 academic year, 2019/2020 academic year or 2020/2021 academic year. This is so that any issues found in those years are not simply repeated as planning assumptions for 2021/2022 academic year or any future year.",159
if-planned-funded-activity-bec-p9-7-4aaa8da2,9,7,"If planned funded activity becomes impossible to deliver due to local social distancing requirements or other challenges, we expect institutions to arrange substitute activities. For example, where external work experience becomes impossible then students should be offered alternative arrangements that help them meet their original study programme objectives. The advice above, together with the additional advice we have already given in Annex B on evidencing planned hours to funding auditors, may also help in planning hours for students in these current difficult circumstances and avoiding any funding audit issues later in the funding year.",94
1-introduction-and-background-p10-8-d395cf80,10,8,"1: Introduction and background Introduction 1. The funding guidance for young people 2021/2022 academic year is written on behalf of the Secretary of State for Education who funds the provision of education, using their powers through the Education and Skills Funding Agency (ESFA). 2. This document sets out the ESFA funding guidance for all funded programmes for young people in 2021/2022 academic year and covers all 16 to 19 funding funding provided by ESFA, other than the separate funding arrangements that apply for 16 to 19 funding apprenticeships. 3. The national funding methodology has been used to determine the funding allocations for 2021/2022 academic year. ESFA expect to confirm these allocations for individual institutions by March 2021.",117
background-4-all-institutions-p10-9-c144ca8e,10,9,"Background 4. All institutions that receive young people's funding from ESFA (either directly or through local authorities (Local Authority(ies))) for provision that falls within the scope of this document as defined below must comply with the guidance. 5. Directly funded ESFA institutions must treat ESFA as their funding body and for queries on this guidance, use the online enquiry form. For all ESFA provision, where funding is paid by ESFA to Local Authority(ies) (usually Local Authority(ies) maintained school provision), the Local Authority(ies) should usually be treated as the funding body for queries on this guidance. 6. The term 'institutions' is used to cover academies, schools, colleges and all other providers. The individual institution types will be used where the Funding guidance for young people applies only to that specific type of institution. Similarly 'students' is used as a constant reference to guidance applying to all students and pupils. 7. ESFA young people's funding is paid on a funding year starting 1 August and ending on 31 July (1 September to 31 August for academies). Local Authority(ies) pay schools on a standard treasury or Local Authority(ies) financial year basis, usually starting 1 April and ending 31 March.",196
8-this-document-is-expected-to-p10-10-f97acb38,10,10,"This document is expected to be used by funding body auditors in their funding audit testing of institutions for the necessary evidence of compliance with the guidance. The advice on planned hours is all together within section 4 of this document, so all funding audit and funding compliance work by both institutions and funding auditors is as easy as possible. 9. Definitions of the terms used in this document are set out in section 5 and a list of useful acronyms is included in annex A. Annex E relates only to provision delivered by academies or school sixth forms whose data is returned through the school census return.",109
